EDS_ID,ISIN,SEDOL,ticker,Ticker,Exchange,Exchange_name,bloomberg_ticker,yahoo_ticker,CUSIP,Name,Description,Currency,rate,Shares_2020,Shares_04_2021_06_2021,share_fx,ICB_Sector_name,GICS_sector_name,_industry_sector,code,industry_group,GICS_subindustry,Industry_Subgroup,BICS_name,BICS_code,feature_cl_B_industry_sub_l1,feature_cl_B_industry_sub_l2,feature_cl_B_industry_sub_l2_code,feature_cl_B_industry_sub_l3,Country_of_domicile,Country_of_incorp._ISO,Country_of_risk_ISO,Country_of_incorp._Name,Country_of_risk_name,Revenue,EBITDA,Profit_net_fcf,Mcap_unit,Mcap,Mcap_USD_202104,Mcap_FF_EUR,Rank_Mcap,EPS_yahoo,PE_BB,PE_FMP,PE_yahoo,PB_BB,PB_yahoo,PFCF_BB,PE_his,PFCF_his,Date,Rank_prev,Price,Bid,Ask,spread_pct,Book_amount_MAX,book_volume,Mcap_local,Volume_book,volume_book_fin,Company_ID,Ultimate_parent,Ultimate_parent_ticker,Ultimate_parent_name,Aegon_held,source_lookup,in_Index,in_EDM_ticker,in_EDM_SEDOL,in_BPS,in_Russell3000,ISIN_code,in_BB_index_b,in_BB_index_l,in_BB_index_202106,in_eligible_202106
1,KR7000060004,B0YCFG2,000060 KS,60,KS,,000060 KS,000060.KS,,Meritz Fire Ins,,KRW,0,,,,,,,,,40301040,,,,,,,,KR,KR,KR,,,,,,B,2.75586E+12,,1,829,,,,,2.75586E+12,,9.792449951,,,20210631,794,,,,,,,,,,,,,,,,Kospi803,,,,,KR,000060 KS,000060 KS,000060 KS,
2,KR7000080002,B05R492,000080 KS,80,KS,,000080 KS,000080.KS,,HITEJINRO,,KRW,0,,,,,,,,,30201020,,,,,,,,KR,KR,KR,,,,,,B,2.36327E+12,,0.5,1206,,19.9225491,,,2.36327E+12,,4.496273994,,,20210631,1273,,,,,,,,,,,,,,,,Kospi803,,,,,KR,,000080 KS,000080 KS,
3,KR7000100008,6988337,000100 KS,100,KS,,000100 KS,000100.KS,Y9873D109,Yuhan,,KRW,0,69972959,69972959,52059.8815,,Health Care,Pharmaceuticals,,,35202010,Pharmaceuticals,Biotech & Pharma,161010,16,10,1610,10,KR,,,,"Korea, Republic of",,,,B  ,3.9632E+12,,,,,36.0306966,,,3.9632E+12,,54.98216629,,,20210631| 20210314,,59300,59100,59300,0.003372681,,,11.678,1883,83076.4536,129491,,,,,,Kospi803,000100 KS,6988337,,,KR,000100 KS,000100 KS,000100 KS,
4,KR7000120006,6497112,000120 KS,120,KS,,000120 KS,000120.KS,Y166AE100,CJ LOGISTICS,,KRW,0,22812344,22812344,16972.38394,,Industrials,Transportation Services,,,20304020,Trucking,Transportation & Logistics,171112,17,11,1711,12,KR,KR,KR,,"Korea, Republic of",,,,B,3.63993E+12,,1.6,577,,20.89970433,,,3.63993E+12,,7.176124096,,,20210631,537,,,,,,,,,,,,,,,,Kospi803,000120 KS,6497112,,,KR,000120 KS,000120 KS,000120 KS,
5,KR7000150003,6661111,000150 KS,150,KS,,000150 KS,000150.KS,,Doosan,,KRW,0,,,,,,,,,20105010,,,,,,,,KR,KR,KR,,,,,,B,1.34959E+12,,1.3,674,,0.787,,,1.34959E+12,,12.26161766,,,20210631,713,,,,,,,,,,,,,,,,Kospi803,,,,,KR,000150 KS,000150 KS,000150 KS,
6,KR7000210005,6249584,000210 KS,210,KS,,000210 KS,000210.KS,Y1860N109,Daelim Ind,,KRW,0,34800000,34800000,25891.2,,Industrials,Construction Machinery,,,20103010,Construction & Engineering,Engineering & Construction,171113,17,11,1711,13,,KR,KR,,"Korea, Republic of",,,,B,,,2,480,,,,,,,,,,,475,,,,,,,,,,,,,,,,Kospi803,000210 KS,6249584,,,KR,,,,
7,KR7000240002,6107422,000240 KS,240,KS,,000240 KS,000240.KS,,HANKOOK TIRE WORLDWIDE,,KRW,0,,,,,,,,,25101010,,,,,,,,KR,KR,KR,,,,,,B,1.66885E+12,,0.3,1796,,4.184999943,,,1.66885E+12,,23.39807129,,,20210631,1862,,,,,,,,,,,,,,,,Kospi803,,,,,KR,000240 KS,000240 KS,000240 KS,
8,KR7000270009,6490928,000270 KS,270,KS,,000270 KS,000270.KS,Y47601102,Kia motors,,KRW,0,405363347,405363347,301590.3302,,Consumer Discretionary,Automotive,,,25102010,Automobile Manufacturers,Automotive,111011,11,10,1110,11,KR,,,,"Korea, Republic of",,,,B ,3.46405E+13,,,,,7.408177396,,,3.46405E+13,,6.818640232,,,20210631,,82300,82300,82400,0.001215067,,,246.385,2802,,117682,,,,,,Kospi803,000270 KS,6490928,,,KR,000270 KS,000270 KS,000270 KS,
9,KR7000370007,6805801,000370 KS,370,KS,,000370 KS,000370.KS,,Hanwha General,,KRW,0,,,,,,,,,40301040,,,,,,,,KR,KR,KR,,,,,,B,5.37583E+11,,0.2,2063,,47541.9884,,,5.37583E+11,,2.360438585,,,20210631,2007,,,,,,,,,,,,,,,,Kospi803,,,,,KR,000370 KS,000370 KS,000370 KS,
10,KR7000660001,6450267,000660 KS,660,KS,,000660 KS,000660.KS,Y8085F100,SK HYNIX,,KRW,0,728002365,728002365,541633.7596,,Information Technology,Technology,,,45301020,Semiconductors,Semiconductors,191011,19,10,1910,11,KR,KR,KR,,"Korea, Republic of",,,,B,7.97534E+13,,32.4,16,,6.624957988,,,7.97534E+13,,50.43494034,,,20210631,16,,,,,,,,,,,,,,,,Kospi803,000660 KS,6450267,,,KR,000660 KS,000660 KS,000660 KS,
11,KR7000720003,6450988,000720 KS,720,KS,,000720 KS,000720.KS,Y38382100,Hyundai Eng&Con,,KRW,0,111355765,111355765,82848.68916,,Industrials,Construction Machinery,,,20103010,Construction & Engineering,Engineering & Construction,171113,17,11,1711,13,KR,KR,KR,,"Korea, Republic of",,,,B,6.09116E+12,,2.9,335,,12.12460702,,,6.09116E+12,,4.55619812,,,20210631,315,,,,,,,,,,,,,,,,Kospi803,000720 KS,6450988,,,KR,000720 KS,000720 KS,000720 KS,
12,KR7000810002,6155250,000810 KS,810,KS,,000810 KS,000810.KS,Y7473H108,Samsung Fire & Marine Insuranc,,KRW,0,47374837,47374837,35246.87873,,Financials,P&C,,,40301040,Property & Casualty Insurance,Insurance,141210,14,12,1412,10,KR,KR,KR,,"Korea, Republic of",,,,B,8.56308E+12,,7.7,114,,8.759932168,,,8.56308E+12,,5.765088081,,,20210631,109,,,,,,,,,,,,,,,,Kospi803,000810 KS,6155250,,,KR,000810 KS,000810 KS,000810 KS,
13,KR7000880005,6496755,000880 KS,880,KS,,000880 KS,000880.KS,,Hanwha,,KRW,0,74958735,74958735,55769.29884,,Industrials,Diversified Manufacturing,,,20105010,Industrial Conglomerates,Insurance,141210,14,12,1412,10,KR,KR,KR,,"Korea, Republic of",,,,B,2.07385E+12,,1.3,679,,4.60995294,,,2.07385E+12,,0.643832982,,,20210631,660,,,,,,,,,,,,,,,,Kospi803,000880 KS,6496755,,,KR,000880 KS,000880 KS,000880 KS,
14,KR7000990002,6407757,000990 KS,990,KS,,000990 KS,000990.KS,,DB HITEK,,KRW,0,,,,,,,,,45301020,,,,,,,,KR,KR,KR,,,,,,B,2.74296E+12,,0.5,1310,,6.459000111,,,2.74296E+12,,19.14505386,,,20210631,1469,,,,,,,,,,,,,,,,Kospi803,,,,,KR,000990 KS,000990 KS,000990 KS,
15,KR7001040005,6189516,001040 KS,1040,KS,,001040 KS,001040.KS,Y1848L118,CJ,,KRW,0,29176998,29176998,21707.68651,,Industrials,Diversified Manufacturing,,,20105010,Industrial Conglomerates,Wholesale - Consumer Staples,121110,12,11,1211,10,KR,,,,"Korea, Republic of",,,,B ,2.71938E+12,,,,,8.509903344,,,2.71938E+12,,1.271850944,,,20210631| 20210314,,92800,92700,92800,0.001077586,,,13.942,2026,139881.5232,119127,,,,,,Kospi803,001040 KS,6189516,,,KR,001040 KS,001040 KS,001040 KS,
16,KR7001120005,6537115,001120 KS,1120,KS,,001120 KS,001120.KS,,LG INTERNATIONAL,,KRW,0,,,,,,,,,20107010,,,,,,,,,KR,KR,,,,,,B,,,0.4,1402,,,,,,,,,,,1501,,,,,,,,,,,,,,,,Kospi803,,,,,KR,,,,
17,KR7001230002,6276117,001230 KS,1230,KS,,001230 KS,001230.KS,,Dongkuk Steel Mill,,KRW,0,,,,,,,,,15104050,,,,,,,,KR,,,,,,,,B  ,1.98693E+12,,,,,1.347000003,,,1.98693E+12,,5.765755653,,,20210631| 20210314,,9970,9970,9980,0.001003009,,,21.399,4819,35745.79992,117450,,,,,,Kospi803,,,,,KR,001230 KS,001230 KS,001230 KS,
18,KR7001430008,6494500,001430 KS,1430,KS,,001430 KS,001430.KS,,Seah Besteel Corp,,KRW,0,,,,Mining & Minerals,,,,,15104050,,,,,,,,KR,KR,KR,Korea,South Korea,,,,B,1.07528E+12,1215652864,,,,1.768000007,,,1.07528E+12,,3.603827953,,,20210631,,,,,,,,,,,,,58650,SeAH Holdings Corp,,tmp1,Kospi803,,,,,KR,001430 KS,001430 KS,001430 KS,
19,KR7001450006,B01LXY6,001450 KS,1450,KS,,001450 KS,001450.KS,Y3842K104,hyundai Marine & Fire Insurance,,KRW,0,89400000,89400000,66513.6,,Financials,P&C,,,40301040,Property & Casualty Insurance,Insurance,141210,14,12,1412,10,KR,,,,"Korea, Republic of",,,,B ,1.99727E+12,,,,,,,,1.99727E+12,,10.56145477,,,20210631| 20210314,,23400,23350,23400,0.002136752,,,14.89,6957,121118.5872,129127,,,,,,Kospi803,001450 KS,B01LXY6,,,KR,001450 KS,001450 KS,001450 KS,
20,KR7001680008,6352716,001680 KS,1680,KS,,001680 KS,001680.KS,,Daesang,,KRW,0,,,,,,,,,30202030,,,,,,,,KR,KR,KR,,,,,,B,9.44159E+11,,0.4,1405,,2.519000053,,,9.44159E+11,,35.07885742,,,20210631,1335,,,,,,,,,,,,,,,,Kospi803,,,,,KR,001680 KS,001680 KS,001680 KS,
21,KR7001740000,B04PZG1,001740 KS,1740,KS,,001740 KS,001740.KS,,Sk Networks Co Ltd,,KRW,0,,,,,,,,,20107010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kospi803,,,,,KR,,,,
22,KR7002270007,6535454,002270 KS,2270,KS,,002270 KS,002270.KS,,LOTTE FOOD,,KRW,0,,,,,,,,,30202030,,,,,,,,,KR,KR,,,,,,B,,,0.4,1494,,,,,,,,,,,1466,,,,,,,,,,,,,,,,Kospi803,,,,,KR,,,,
23,KR7002320000,6407780,002320 KS,2320,KS,,002320 KS,002320.KS,,Hanjin Transport,,KRW,0,,,,,,,,,20301010,,,,,,,,KR,KR,KR,,,,,,B,6.12105E+11,,0.3,1809,,1.213999987,,,6.12105E+11,,10.79796124,,,20210631,1934,,,,,,,,,,,,,,,,Kospi803,,,,,KR,002320 KS,002320 KS,002320 KS,
24,KR7002350007,6984959,002350 KS,2350,KS,,002350 KS,002350.KS,,Nexen Tire,,KRW,0,,,,,,,,,25101020,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,20210314,,7720,7710,7720,0.001295337,,,1.877,701,4026.31968,129475,,,,,,Kospi803,,,,,KR,,,,
25,KR7002790004,6665931,002790 KS,2790,KS,,002790 KS,002790.KS,Y0126C105,AMOREG,,KRW,0,82458180,82458180,61348.88592,,Consumer Staples,Consumer Products,,,30302010,Personal Products,Household Products,121013,12,10,1210,13,KR,KR,KR,,"Korea, Republic of",,,,B,4.54446E+12,,2.2,448,,24.97494938,,,4.54446E+12,,10.08822823,,,20210631,466,,,,,,,,,,,,,,,,Kospi803,002790 KS,6665931,,,KR,002790 KS,002790 KS,002790 KS,
26,KR7003230000,6771838,003230 KS,3230,KS,,003230 KS,003230.KS,,SAMYANGFOODS,,KRW,0,,,,,,,,,30202030,,,,,,,,KR,KR,KR,,,,,,B,6.76428E+11,,0.2,1917,,4.186999798,,,6.76428E+11,,0,,,20210631,1813,,,,,,,,,,,,,,,,Kospi803,,,,,KR,003230 KS,003230 KS,003230 KS,
27,KR7003410008,6837280,003410 KS,3410,KS,,003410 KS,003410.KS,,Ssangyong Cem,,KRW,0,,,,,,,,,15102010,,,,,,,,KR,KR,KR,,,,,,B,4.01323E+12,,0.5,1276,,22.29712728,,,4.01323E+12,,18.61836052,,,20210631,1174,,,,,,,,,,,,,,,,Kospi803,,,,,KR,003410 KS,003410 KS,003410 KS,
28,KR7003490000,6496766,003490 KS,3490,KS,,003490 KS,003490.KS,Y4936S102,KOREAN AIR LINES,,KRW,0,174209713,174209713,129612.0265,,Industrials,Airlines,,,20302010,Airlines,Transportation & Logistics,171112,17,11,1711,12,KR,KR,KR,,"Korea, Republic of",,,,B,6.77143E+12,,1.7,568,,89.4693063,,,6.77143E+12,,0,,,20210631,577,,,,,,,,,,,,,,,,Kospi803,003490 KS,6496766,,,KR,,003490 KS,003490 KS,
29,KR7003550001,6537030,003550 KS,3550,KS,,003550 KS,003550.KS,Y52755108,LG,,KRW,0,172557131,172557131,128382.5055,,Industrials,Diversified Manufacturing,,,20105010,Industrial Conglomerates,Technology Services,191111,19,11,1911,11,KR,KR,KR,,"Korea, Republic of",,,,B,1.51713E+13,,7.4,118,,6.767443193,,,1.51713E+13,,32.85536575,,,20210631,107,,,,,,,,,,,,,,,,Kospi803,003550 KS,6537030,,,KR,003550 KS,003550 KS,003550 KS,
30,KR7003670007,6419451,003670 KS,3670,KS,,003670 KS,003670.KS,Y70754109,POSCO CHEMICAL,,KRW,0,77463220,77463220,57632.63568,,Materials,Building Materials,,,15102010,Construction Materials,Construction Materials,181011,18,10,1810,11,KR,KR,KR,,"Korea, Republic of",,,,B,9.3007E+12,,2.3,58,,78.06018669,,,9.3007E+12,,0,,,20210631| 20210314,81,,,,,,,,,,,,,,,,Kospi803,003670 KS,6419451,,,KR,003670 KS,003670 KS,003670 KS,
31,KR7003690005,B01T146,003690 KS,3690,KS,,003690 KS,003690.KS,,Korean Reinsurance,,KRW,0,,,,,,,,,40301050,,,,,,,,KR,,,,,,,,,9.69511E+11,,,,,,,,9.69511E+11,,4.390258789,,,20210631,,,,,,,,,,,,,,,,,Kospi803,,,,,KR,003690 KS,003690 KS,003690 KS,
32,KR7003850005,6112716,003850 KS,3850,KS,,003850 KS,003850.KS,,Boryung Pharmaceutical,,KRW,0,,,,,,,,,35202010,,,,,,,,KR,,,,,,,,B ,1.08907E+12,,,,,4.276000023,,,1.08907E+12,,25.8169136,,,20210631| 20210314,,20650,20600,20650,0.002421308,,,13.035,9121,140131.3956,128925,,,,,,Kospi803,,,,,KR,003850 KS,003850 KS,003850 KS,
33,KR7004000006,6496432,004000 KS,4000,KS,,004000 KS,004000.KS,,LOTTE FINE CHEMICAL,,KRW,0,,,,,,,,,15101020,,,,,,,,,KR,KR,,,,,,B,,,0.7,1070,,,,,,,,,,,1112,,,,,,,,,,,,,,,,Kospi803,,,,,KR,,,,
34,KR7004020004,6461850,004020 KS,4020,KS,,004020 KS,004020.KS,Y38383108,Hyundai Steel,,KRW,0,133445785,133445785,99283.66404,,Materials,Metals and Mining,,,15104050,Steel,Steel,181014,18,10,1810,14,KR,,,,"Korea, Republic of",,,,B  ,7.02454E+12,,,,,7.490608908,,,7.02454E+12,,5.133644104,,,20210631| 20210314,,41400,41350,41400,0.001207729,,,61.946,3551,109376.4816,117635,,,,,,Kospi803,004020 KS,6461850,,,KR,004020 KS,004020 KS,004020 KS,
35,KR7004170007,6805049,004170 KS,4170,KS,,004170 KS,004170.KS,Y77538109,SHINSEGAE,,KRW,0,9845181,9845181,7324.814664,,Consumer Discretionary,Retailers,,,25503010,Department Stores,Retail - Discretionary,111211,11,12,1112,11,KR,KR,KR,,"Korea, Republic of",,,,B,2.68042E+12,,1.8,526,,9.694850827,,,2.68042E+12,,4.326959133,,,20210631,517,,,,,,,,,,,,,,,,Kospi803,004170 KS,6805049,,,KR,,004170 KS,004170 KS,
36,KR7004370003,6638115,004370 KS,4370,KS,,004370 KS,004370.KS,,Nongshim,,KRW,0,,,,,,,,,30202030,,,,,,,,KR,KR,KR,,,,,,B,1.85622E+12,,0.8,929,,3.611000061,,,1.85622E+12,,0,,,20210631,852,,,,,,,,,,,,,,,,Kospi803,,,,,KR,004370 KS,004370 KS,004370 KS,
37,KR7004990008,6535432,004990 KS,4990,KS,,004990 KS,004990.KS,Y53468107,LOTTE,,KRW,0,104909237,104909237,78052.47233,,Industrials,Diversified Manufacturing,,,20105010,Industrial Conglomerates,Wholesale - Consumer Staples,121110,12,11,1211,10,KR,KR,KR,,"Korea, Republic of",,,,B,2.67998E+12,,2.8,347,,10.81741375,,,2.67998E+12,,0,,,20210631,331,,,,,,,,,,,,,,,,Kospi803,004990 KS,6535432,,,KR,,004990 KS,004990 KS,
38,KR7005300009,6535443,005300 KS,5300,KS,,005300 KS,005300.KS,,Lotte Chilsung,,KRW,0,,,,,,,,,30201030,,,,,,,,KR,KR,KR,,,,,,B,1.21164E+12,,0.4,1454,,2.039000034,,,1.21164E+12,,6.643306732,,,20210631,1420,,,,,,,,,,,,,,,,Kospi803,,6535443,,,KR,005300 KS,005300 KS,005300 KS,
39,KR7005380001,6451055,005380 KS,5380,KS,,005380 KS,005380.KS,Y38472109,Hyundai Motor,,KRW,0,213668187,213668187,158969.1311,,Consumer Discretionary,Automotive,,,25102010,Automobile Manufacturers,Automotive,111011,11,10,1110,11,KR,KR,KR,,"Korea, Republic of",,,,B,4.51298E+13,,16.6,41,,8.706855345,,,4.51298E+13,,0,,,20210631,47,,,,,,,,,,,,,,,,Kospi803,005380 KS,6451055,,,KR,005380 KS,005380 KS,005380 KS,
40,KR7005440003,6489302,005440 KS,5440,KS,,005440 KS,005440.KS,,Hyundai Green Food,,KRW,0,,,,,,,,,30101020,,,,,,,,KR,,,,,,,,B ,8.73069E+11,,,,,2.612999916,,,8.73069E+11,,0,,,20210631| 20210314,,9640,9630,9640,0.001037344,,,7.223,6223,44632.35168,117681,,,,,,Kospi803,,,,,KR,005440 KS,005440 KS,005440 KS,
41,KR7005490008,6693233,005490 KS,5490,KS,,005490 KS,005490.KS,Y70750115,Posco,,KRW,0,87186835,87186835,64867.00524,Mining & Minerals,Materials,Metals and Mining,,,15104050,Steel,Steel,181014,18,10,1810,14,KR,,,Korea,"Korea, Republic of",,,,B,2.77076E+13,23571859456,,,,6.490055881,,,2.77076E+13,,5.341508865,,,20210631,,,,,,,,,,,,,,,,tmp1,Kospi803,005490 KS,6693233,,,KR,,005490 KS,005490 KS,
42,KR7005610001,6771281,005610 KS,5610,KS,,005610 KS,005610.KS,,SPC SAMLIP,,KRW,0,,,,,,,,,30202030,,,,,,,,KR,KR,KR,,,,,,B,6.5166E+11,,0.2,1852,,3.016000032,,,6.5166E+11,,7.832069397,,,20210631,1768,,,,,,,,,,,,,,,,Kospi803,,,,,KR,005610 KS,005610 KS,005610 KS,
43,KR7005830005,6155937,005830 KS,5830,KS,,005830 KS,005830.KS,Y2096K109,DB Insurance,,KRW,0,70800000,70800000,52675.2,,Financials,P&C,,,40301040,Property & Casualty Insurance,Insurance,141210,14,12,1412,10,KR,KR,KR,,"Korea, Republic of",,,,B,3.26036E+12,,3,328,,5.699659134,,,3.26036E+12,,2.329474926,,,20210631,312,,,,,,,,,,,,,,,,Kospi803,005830 KS,6155937,,,KR,005830 KS,005830 KS,005830 KS,
